05/30/2019 23:00:06 PM - INFO - 持仓,操作日期,2011-04-26,股票名称,股票具体名称,当前价格,价格,今日指标,指标,ROE,roe,PE,pe,所属板块,板块
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-09-14,股票名称,新和成,当前价格,7.664338085,今日指标,-4.637291133333321,ROE,43.09346666666667,PE,14.463866,所属板块,医药生物
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-09-14,股票名称,四川双马,当前价格,10.582604175,今日指标,-23.067879299999994,ROE,35.13,PE,17.635721,所属板块,建筑材料
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-10-14,股票名称,闻泰科技,当前价格,8.72427312,今日指标,10.632288633333332,ROE,76.43415333333333,PE,19.939959,所属板块,电子
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-10-14,股票名称,浙江医药,当前价格,17.586509149999998,今日指标,7.9391824,ROE,41.41198,PE,10.143272,所属板块,医药生物
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-10-14,股票名称,新和成,当前价格,7.93143032,今日指标,-2.7587496333333235,ROE,43.09346666666667,PE,13.894611,所属板块,医药生物
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-10-14,股票名称,四川双马,当前价格,10.730612625,今日指标,-23.1208344,ROE,35.13,PE,17.651768,所属板块,建筑材料
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-03,股票名称,闻泰科技,当前价格,9.30389264,今日指标,8.231875777777795,ROE,72.08799777777779,PE,19.35034,所属板块,电子
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-03,股票名称,浙江医药,当前价格,16.2622611,今日指标,0.5217252333333349,ROE,40.630113333333334,PE,12.154057,所属板块,医药生物
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-03,股票名称,新和成,当前价格,7.644553475,今日指标,-16.922629488888887,ROE,42.464111111111116,PE,17.995982,所属板块,医药生物
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-03,股票名称,四川双马,当前价格,10.59740502,今日指标,-149.11291538888887,ROE,34.498111111111115,PE,55.639705,所属板块,建筑材料
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-13,股票名称,闻泰科技,当前价格,8.824207520000002,今日指标,7.2863960777777805,ROE,72.08799777777779,PE,19.636849,所属板块,电子
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-13,股票名称,浙江医药,当前价格,17.831556919999997,今日指标,2.1176976333333357,ROE,40.630113333333334,PE,11.670429,所属板块,医药生物
05/30/2019 23:11:52 PM - INFO - 明日操作,持仓,操作日期,2010-11-13,股票名称,新和成,当前价格,9.3070244,今日指标,-12.982865088888879,ROE,42.464111111111116,PE,16.802114,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-11-13,股票名称,四川双马,当前价格,11.154903515,今日指标,-157.78616348888886,ROE,34.498111111111115,PE,58.267962,所属板块,建筑材料
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-11-23,股票名称,闻泰科技,当前价格,8.70428624,今日指标,14.341116277777793,ROE,72.08799777777779,PE,17.499055,所属板块,电子
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-11-23,股票名称,浙江医药,当前价格,17.90581382,今日指标,2.139708633333335,ROE,40.630113333333334,PE,11.663759,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-11-23,股票名称,新和成,当前价格,9.232832,今日指标,-12.962131188888883,ROE,42.464111111111116,PE,16.795831,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-11-23,股票名称,四川双马,当前价格,12.131759285000001,今日指标,-147.96738968888886,ROE,34.498111111111115,PE,55.292576,所属板块,建筑材料
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-03,股票名称,闻泰科技,当前价格,7.84984712,今日指标,13.759283377777791,ROE,72.08799777777779,PE,17.675368,所属板块,电子
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-03,股票名称,浙江医药,当前价格,17.00235487,今日指标,2.6240034333333355,ROE,40.630113333333334,PE,11.517003,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-03,股票名称,新和成,当前价格,8.64259024,今日指标,-13.750082088888888,ROE,42.464111111111116,PE,17.034604,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-03,股票名称,四川双马,当前价格,11.00196145,今日指标,-172.51432088888888,ROE,34.498111111111115,PE,62.73104,所属板块,建筑材料
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-23,股票名称,闻泰科技,当前价格,8.4694404,今日指标,6.777291877777799,ROE,72.08799777777779,PE,19.791123,所属板块,电子
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-23,股票名称,浙江医药,当前价格,16.91077136,今日指标,3.6586326333333403,ROE,40.630113333333334,PE,11.203479,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-23,股票名称,新和成,当前价格,8.9195752,今日指标,-13.314633888888885,ROE,42.464111111111116,PE,16.90265,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2010-12-23,股票名称,四川双马,当前价格,12.15642736,今日指标,-156.14970008888886,ROE,34.498111111111115,PE,57.772064,所属板块,建筑材料
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2011-01-12,股票名称,闻泰科技,当前价格,8.92414192,今日指标,10.413746677777787,ROE,72.08799777777779,PE,18.689167,所属板块,电子
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2011-01-12,股票名称,浙江医药,当前价格,16.60631807,今日指标,5.815944933333341,ROE,40.630113333333334,PE,10.549748,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2011-01-12,股票名称,新和成,当前价格,8.78273144,今日指标,-10.784893488888876,ROE,42.464111111111116,PE,16.136062,所属板块,医药生物
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2011-01-12,股票名称,四川双马,当前价格,11.391717035,今日指标,-129.4753710888889,ROE,34.498111111111115,PE,49.688934,所属板块,建筑材料
05/30/2019 23:11:53 PM - INFO - 明日操作,持仓,操作日期,2011-01-22,股票名称,闻泰科技,当前价格,8.46444368,今日指标,20.01398457777779,ROE,72.08799777777779,PE,15.780004,所属板块,电子
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-01-22,股票名称,浙江医药,当前价格,15.67068113,今日指标,7.202789733333333,ROE,40.630113333333334,PE,10.129492,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-01-22,股票名称,新和成,当前价格,8.6063184,今日指标,-7.9648520888888825,ROE,42.464111111111116,PE,15.281504,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-01-22,股票名称,四川双马,当前价格,9.91656615,今日指标,-113.43804428888888,ROE,34.498111111111115,PE,44.829138,所属板块,建筑材料
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-01,股票名称,闻泰科技,当前价格,7.14031288,今日指标,18.559400677777788,ROE,72.08799777777779,PE,16.220787,所属板块,电子
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-01,股票名称,浙江医药,当前价格,15.10137823,今日指标,6.487353033333335,ROE,40.630113333333334,PE,10.346291,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-01,股票名称,新和成,当前价格,8.045753600000001,今日指标,-8.732069088888885,ROE,42.464111111111116,PE,15.513994,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-01,股票名称,四川双马,当前价格,8.91997592,今日指标,-136.18486508888887,ROE,34.498111111111115,PE,51.722114,所属板块,建筑材料
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-11,股票名称,闻泰科技,当前价格,7.4201292,今日指标,15.795696877777793,ROE,72.08799777777779,PE,17.058273,所属板块,电子
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-11,股票名称,浙江医药,当前价格,15.341475540000001,今日指标,6.069097833333338,ROE,40.630113333333334,PE,10.473035,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-11,股票名称,新和成,当前价格,8.141379359999998,今日指标,-8.89795348888888,ROE,42.464111111111116,PE,15.564262,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-02-11,股票名称,四川双马,当前价格,10.78488239,今日指标,-140.7669579888889,ROE,34.498111111111115,PE,53.110627,所属板块,建筑材料
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-03,股票名称,闻泰科技,当前价格,7.7698996,今日指标,10.05009987777779,ROE,72.08799777777779,PE,18.799363,所属板块,电子
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-03,股票名称,浙江医药,当前价格,15.66078021,今日指标,4.142927433333334,ROE,40.630113333333334,PE,11.056723,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-03,股票名称,新和成,当前价格,8.317792399999998,今日指标,-15.657155388888874,ROE,42.464111111111116,PE,17.612505,所属板块,医药生物
