code,code_name,industry,industryClassification
sh.600000,浦发银行,银行,293.52080397
sh.600009,上海机场,交通运输,19.26958448
sh.600036,招商银行,银行,252.19845601
sh.600048,保利地产,房地产,118.95029098
sh.600056,中国医药,医药生物,10.68485534
sh.600085,同仁堂,医药生物,13.71470262
sh.600104,上汽集团,汽车,116.83461365
sh.600161,天坛生物,医药生物,8.71139006
sh.600167,联美控股,公用事业,17.60091904
sh.600183,生益科技,电子,21.17493146
sh.600276,恒瑞医药,医药生物,44.23034469
sh.600298,安琪酵母,农林牧渔,8.24080943
sh.600305,恒顺醋业,食品饮料,7.835594
sh.600332,白云山,医药生物,16.25790949
sh.600340,华夏幸福,房地产,30.03251709
sh.600345,长江通信,通信,1.98
sh.600377,宁沪高速,交通运输,50.377475
sh.600383,金地集团,房地产,45.14583572
sh.600419,天润乳业,食品饮料,2.07114418
sh.600436,片仔癀,医药生物,6.0331721
sh.600452,涪陵电力,公用事业,2.24
sh.600487,亨通光电,通信,19.03685822
sh.600511,国药股份,医药生物,7.66933698
sh.600519,贵州茅台,食品饮料,12.561978
sh.600522,中天科技,通信,30.66072521
sh.600535,天士力,医药生物,15.12666229
sh.600548,深高速,交通运输,21.80770326
sh.600566,济川药业,医药生物,8.14909009
sh.600572,康恩贝,医药生物,26.673202
sh.600585,海螺水泥,建筑材料,52.99302579
sh.600606,绿地控股,房地产,121.68154385
sh.600612,老凤祥,轻工制造,5.23117764
sh.600660,福耀玻璃,汽车,25.08617532
sh.600690,青岛海尔,家用电器,63.684167
sh.600741,华域汽车,汽车,31.52723984
sh.600750,江中药业,医药生物,4.2
sh.600763,通策医疗,医药生物,3.2064
sh.600771,广誉远,医药生物,3.53111304
sh.600779,水井坊,食品饮料,4.88545698
sh.600809,山西汾酒,食品饮料,8.65848266
sh.600867,通化东宝,医药生物,20.53555765
sh.600872,中炬高新,食品饮料,7.96637194
sh.600886,国投电力,公用事业,67.86023347
sh.600887,伊利股份,食品饮料,61.28742066
sh.600897,厦门空港,交通运输,2.9781
sh.600900,长江电力,公用事业,220.0
sh.600987,航民股份,纺织服装,7.45392304
sh.601009,南京银行,银行,nan
sh.601155,新城控股,房地产,22.58984186
sh.601166,兴业银行,银行,207.74190751
sh.601169,北京银行,银行,211.42984272
sh.601238,广汽集团,汽车,102.33724617
sh.601288,农业银行,银行,3499.83033873
sh.601318,中国平安,非银金融,182.8024141
sh.601398,工商银行,银行,3564.06257089
sh.601799,星宇股份,汽车,nan
sh.601888,中国国旅,休闲服务,19.52475544
sh.601939,建设银行,银行,2500.10977486
sh.603027,千禾味业,食品饮料,3.26202714
sh.603228,景旺电子,电子,4.17346505
sh.603288,海天味业,食品饮料,27.06444
sh.603369,今世缘,食品饮料,12.545
sh.603589,口子窖,食品饮料,6.0
sh.603866,桃李面包,食品饮料,4.70626
sh.603899,晨光文具,轻工制造,9.2
sz.000002,万科A,房地产,110.516123
sz.000028,国药一致,医药生物,4.28126983
sz.000333,美的集团,家用电器,66.63030506
sz.000423,东阿阿胶,医药生物,6.54021537
sz.000429,粤高速A,交通运输,20.90806126
sz.000513,丽珠集团,医药生物,7.1905024
sz.000520,长航凤凰,交通运输,10.12083455
sz.000538,云南白药,医药生物,10.41399718
sz.000568,泸州老窖,食品饮料,14.64752476
sz.000596,古井贡酒,食品饮料,5.036
sz.000650,仁和药业,医药生物,12.38340076
sz.000651,格力电器,家用电器,60.15730878
sz.000656,金科股份,房地产,53.43368316
sz.000661,长春高新,医药生物,1.70112265
sz.000671,阳光城,房地产,40.50073315
sz.000710,贝瑞基因,医药生物,3.54605865
sz.000732,泰禾集团,房地产,12.4445072
sz.000858,五粮液,食品饮料,38.81608005
sz.000895,双汇发展,食品饮料,33.00867672
sz.000910,大亚圣象,轻工制造,5.5539
sz.000921,海信家电,家用电器,13.6272537
sz.000963,华东医药,医药生物,14.58174624
sz.000998,隆平高科,农林牧渔,13.16970298
sz.000999,华润三九,医药生物,9.789
sz.001979,招商蛇口,房地产,79.04092722
