code,code_name,industry,industryClassification
sz.000930,中粮生化,农林牧渔,申万一级行业
sz.000931,中关村,综合,申万一级行业
sz.000932,华菱钢铁,钢铁,申万一级行业
sz.000933,神火股份,有色金属,申万一级行业
sz.000935,四川双马,建筑材料,申万一级行业
sz.000936,华西股份,化工,申万一级行业
sz.000937,冀中能源,采掘,申万一级行业
sz.000938,紫光股份,计算机,申万一级行业
sz.000948,南天信息,计算机,申万一级行业
sz.000949,新乡化纤,化工,申万一级行业
sz.000950,重药控股,化工,申万一级行业
sz.000951,中国重汽,汽车,申万一级行业
sz.000952,广济药业,医药生物,申万一级行业
sz.000955,欣龙控股,纺织服装,申万一级行业
sz.000957,中通客车,汽车,申万一级行业
sz.000958,东方能源,公用事业,申万一级行业
sz.000959,首钢股份,钢铁,申万一级行业
sz.000960,锡业股份,有色金属,申万一级行业
sz.000961,中南建设,房地产,申万一级行业
sz.000962,东方钽业,有色金属,申万一级行业
sz.000963,华东医药,医药生物,申万一级行业
sz.000965,天保基建,房地产,申万一级行业
sz.000966,长源电力,公用事业,申万一级行业
sz.000967,盈峰环境,公用事业,申万一级行业
sz.000968,蓝焰控股,采掘,申万一级行业
sz.000969,安泰科技,有色金属,申万一级行业
sz.000970,中科三环,有色金属,申万一级行业
sz.000973,佛塑科技,化工,申万一级行业
sz.000975,银泰资源,有色金属,申万一级行业
sz.000976,华铁股份,机械设备,申万一级行业
sz.000977,浪潮信息,计算机,申万一级行业
sz.000978,桂林旅游,休闲服务,申万一级行业
sz.000980,众泰汽车,汽车,申万一级行业
sz.000983,西山煤电,采掘,申万一级行业
sz.000985,大庆华科,化工,申万一级行业
sz.000987,越秀金控,非银金融,申万一级行业
sz.000988,华工科技,电子,申万一级行业
sz.000989,九芝堂,医药生物,申万一级行业
sz.000990,诚志股份,化工,申万一级行业
sz.000993,闽东电力,综合,申万一级行业
sz.000996,中国中期,汽车,申万一级行业
sz.000997,新大陆,计算机,申万一级行业
sz.000998,隆平高科,农林牧渔,申万一级行业
sz.000999,华润三九,医药生物,申万一级行业
sz.001696,宗申动力,汽车,申万一级行业
sz.001872,招商港口,交通运输,申万一级行业
sz.001896,豫能控股,公用事业,申万一级行业
sz.001965,招商公路,交通运输,申万一级行业
sz.001979,招商蛇口,房地产,申万一级行业
sz.002001,新和成,医药生物,申万一级行业
sz.002002,鸿达兴业,化工,申万一级行业
sz.002003,伟星股份,纺织服装,申万一级行业
sz.002004,华邦健康,化工,申万一级行业
sz.002006,精功科技,机械设备,申万一级行业
sz.002007,华兰生物,医药生物,申万一级行业
sz.002008,大族激光,电子,申万一级行业
sz.002009,天奇股份,机械设备,申万一级行业
sz.002010,传化智联,交通运输,申万一级行业
sz.002011,盾安环境,家用电器,申万一级行业
sz.002012,凯恩股份,轻工制造,申万一级行业
sz.002013,中航机电,国防军工,申万一级行业
sz.002014,永新股份,轻工制造,申万一级行业
sz.002015,霞客环保,化工,申万一级行业
sz.002016,世荣兆业,房地产,申万一级行业
sz.002017,东信和平,通信,申万一级行业
sz.002019,亿帆医药,医药生物,申万一级行业
sz.002020,京新药业,医药生物,申万一级行业
sz.002022,科华生物,医药生物,申万一级行业
sz.002023,海特高新,国防军工,申万一级行业
sz.002024,苏宁易购,商业贸易,申万一级行业
sz.002025,航天电器,电子,申万一级行业
sz.002026,山东威达,机械设备,申万一级行业
sz.002027,分众传媒,传媒,申万一级行业
sz.002028,思源电气,电气设备,申万一级行业
sz.002029,七匹狼,纺织服装,申万一级行业
sz.002030,达安基因,医药生物,申万一级行业
sz.002031,巨轮智能,机械设备,申万一级行业
sz.002032,苏泊尔,家用电器,申万一级行业
sz.002033,丽江旅游,休闲服务,申万一级行业
sz.002034,旺能环境,纺织服装,申万一级行业
sz.002035,华帝股份,家用电器,申万一级行业
sz.002036,联创电子,电子,申万一级行业
sz.002037,久联发展,化工,申万一级行业
sz.002038,双鹭药业,医药生物,申万一级行业
sz.002039,黔源电力,公用事业,申万一级行业
sz.002040,南京港,交通运输,申万一级行业
sz.002041,登海种业,农林牧渔,申万一级行业
sz.002042,华孚时尚,纺织服装,申万一级行业
sz.002043,兔宝宝,建筑材料,申万一级行业
sz.002044,美年健康,医药生物,申万一级行业
sz.002045,国光电器,电子,申万一级行业
sz.002046,轴研科技,机械设备,申万一级行业
sz.002047,宝鹰股份,建筑装饰,申万一级行业
sz.002048,宁波华翔,汽车,申万一级行业
sz.002049,紫光国微,电子,申万一级行业
sz.002050,三花智控,家用电器,申万一级行业
sz.002051,中工国际,建筑装饰,申万一级行业
sz.002052,同洲电子,家用电器,申万一级行业
sz.002053,云南能投,化工,申万一级行业
sz.002054,德美化工,化工,申万一级行业
sz.002055,得润电子,电子,申万一级行业
sz.002056,横店东磁,电子,申万一级行业
sz.002057,中钢天源,有色金属,申万一级行业
sz.002058,威尔泰,电气设备,申万一级行业
sz.002059,云南旅游,休闲服务,申万一级行业
sz.002060,粤水电,建筑装饰,申万一级行业
sz.002061,浙江交科,建筑装饰,申万一级行业
sz.002062,宏润建设,建筑装饰,申万一级行业
sz.002063,远光软件,计算机,申万一级行业
sz.002064,华峰氨纶,化工,申万一级行业
sz.002065,东华软件,计算机,申万一级行业
sz.002066,瑞泰科技,建筑材料,申万一级行业
sz.002067,景兴纸业,轻工制造,申万一级行业
sz.002068,黑猫股份,化工,申万一级行业
sz.002069,獐子岛,农林牧渔,申万一级行业
sz.002070,众和退,有色金属,申万一级行业
sz.002071,长城影视,传媒,申万一级行业
sz.002073,软控股份,机械设备,申万一级行业
sz.002074,国轩高科,电气设备,申万一级行业
sz.002075,沙钢股份,钢铁,申万一级行业
sz.002076,雪莱特,电子,申万一级行业
sz.002077,大港股份,电子,申万一级行业
sz.002078,太阳纸业,轻工制造,申万一级行业
sz.002079,苏州固锝,电子,申万一级行业
sz.002080,中材科技,化工,申万一级行业
sz.002081,金螳螂,建筑装饰,申万一级行业
sz.002082,万邦德,建筑材料,申万一级行业
sz.002083,孚日股份,纺织服装,申万一级行业
sz.002084,海鸥住工,轻工制造,申万一级行业
sz.002085,万丰奥威,汽车,申万一级行业
sz.002087,新野纺织,纺织服装,申万一级行业
sz.002088,鲁阳节能,建筑材料,申万一级行业
sz.002090,金智科技,电气设备,申万一级行业
sz.002091,江苏国泰,商业贸易,申万一级行业
sz.002092,中泰化学,化工,申万一级行业
sz.002093,国脉科技,通信,申万一级行业
sz.002094,青岛金王,化工,申万一级行业
sz.002095,生意宝,传媒,申万一级行业
sz.002096,南岭民爆,化工,申万一级行业
sz.002097,山河智能,机械设备,申万一级行业
sz.002098,浔兴股份,纺织服装,申万一级行业
sz.002099,海翔药业,医药生物,申万一级行业
sz.002100,天康生物,农林牧渔,申万一级行业
sz.002101,广东鸿图,汽车,申万一级行业
sz.002103,广博股份,传媒,申万一级行业
sz.002104,恒宝股份,通信,申万一级行业
sz.002105,信隆健康,汽车,申万一级行业
sz.002106,莱宝高科,电子,申万一级行业
sz.002107,沃华医药,医药生物,申万一级行业
sz.002108,沧州明珠,化工,申万一级行业
sz.002109,兴化股份,化工,申万一级行业
sz.002110,三钢闽光,钢铁,申万一级行业
sz.002111,威海广泰,机械设备,申万一级行业
sz.002112,三变科技,电气设备,申万一级行业
sz.002114,罗平锌电,有色金属,申万一级行业
sz.002115,三维通信,通信,申万一级行业
sz.002116,中国海诚,建筑装饰,申万一级行业
sz.002117,东港股份,轻工制造,申万一级行业
sz.002118,紫鑫药业,医药生物,申万一级行业
