code,code_name,industry,industryClassification
sh.600000,浦发银行,银行,申万一级行业
sh.600048,保利地产,房地产,申万一级行业
sh.600056,中国医药,医药生物,申万一级行业
sh.600406,国电南瑞,电气设备,申万一级行业
sh.600535,天士力,医药生物,申万一级行业
sh.600566,济川药业,医药生物,申万一级行业
sh.600585,海螺水泥,建筑材料,申万一级行业
sh.600660,福耀玻璃,汽车,申万一级行业
sz.000002,万科A,房地产,申万一级行业
sz.000338,潍柴动力,汽车,申万一级行业
sz.000423,东阿阿胶,医药生物,申万一级行业
sz.000895,双汇发展,食品饮料,申万一级行业
sz.000963,华东医药,医药生物,申万一级行业
sz.002415,海康威视,电子,申万一级行业
