code,code_name,industry,industryClassification
sh.601928,凤凰传媒,传媒,申万一级行业
sh.601929,吉视传媒,传媒,申万一级行业
sh.601933,永辉超市,商业贸易,申万一级行业
sh.601939,建设银行,银行,申万一级行业
sh.601949,中国出版,传媒,申万一级行业
sh.601952,苏垦农发,农林牧渔,申万一级行业
sh.601958,金钼股份,有色金属,申万一级行业
sh.601965,中国汽研,汽车,申万一级行业
sh.601966,玲珑轮胎,化工,申万一级行业
sh.601968,宝钢包装,轻工制造,申万一级行业
sh.601969,海南矿业,采掘,申万一级行业
sh.601975,招商南油,交通运输,申万一级行业
sh.601985,中国核电,公用事业,申万一级行业
sh.601988,中国银行,银行,申万一级行业
sh.601989,中国重工,国防军工,申万一级行业
sh.601990,南京证券,非银金融,申万一级行业
sh.601991,大唐发电,公用事业,申万一级行业
sh.601992,金隅集团,综合,申万一级行业
sh.601996,丰林集团,轻工制造,申万一级行业
sh.601997,贵阳银行,银行,申万一级行业
sh.601998,中信银行,银行,申万一级行业
sh.601999,出版传媒,传媒,申万一级行业
sh.603000,人民网,传媒,申万一级行业
sh.603001,奥康国际,纺织服装,申万一级行业
sh.603002,宏昌电子,化工,申万一级行业
sh.603003,龙宇燃油,化工,申万一级行业
sh.603005,晶方科技,电子,申万一级行业
sh.603006,联明股份,汽车,申万一级行业
sh.603007,花王股份,建筑装饰,申万一级行业
sh.603008,喜临门,轻工制造,申万一级行业
sh.603009,北特科技,汽车,申万一级行业
sh.603010,万盛股份,化工,申万一级行业
sh.603011,合锻智能,机械设备,申万一级行业
sh.603012,创力集团,机械设备,申万一级行业
sh.603013,亚普股份,汽车,申万一级行业
sh.603015,弘讯科技,电气设备,申万一级行业
sh.603016,新宏泰,电气设备,申万一级行业
sh.603017,中衡设计,建筑装饰,申万一级行业
sh.603018,中设集团,建筑装饰,申万一级行业
sh.603019,中科曙光,计算机,申万一级行业
sh.603020,爱普股份,食品饮料,申万一级行业
sh.603021,山东华鹏,轻工制造,申万一级行业
sh.603022,新通联,轻工制造,申万一级行业
sh.603023,威帝股份,汽车,申万一级行业
sh.603025,大豪科技,电气设备,申万一级行业
sh.603026,石大胜华,化工,申万一级行业
sh.603027,千禾味业,食品饮料,申万一级行业
sh.603028,赛福天,机械设备,申万一级行业
sh.603029,天鹅股份,机械设备,申万一级行业
sh.603030,全筑股份,建筑装饰,申万一级行业
sh.603031,安德利,商业贸易,申万一级行业
sh.603032,德新交运,交通运输,申万一级行业
