code,code_name,industry,industryClassification
sz.300039,上海凯宝,医药生物,申万一级行业
sz.300040,九洲电气,电气设备,申万一级行业
sz.300041,回天新材,化工,申万一级行业
sz.300042,朗科科技,计算机,申万一级行业
sz.300043,星辉娱乐,传媒,申万一级行业
sz.300044,赛为智能,计算机,申万一级行业
sz.300045,华力创通,计算机,申万一级行业
sz.300046,台基股份,电子,申万一级行业
sz.300047,天源迪科,计算机,申万一级行业
sz.300048,合康新能,电气设备,申万一级行业
sz.300049,福瑞股份,医药生物,申万一级行业
sz.300050,世纪鼎利,通信,申万一级行业
sz.300051,三五互联,传媒,申万一级行业
sz.300052,中青宝,传媒,申万一级行业
sz.300053,欧比特,电子,申万一级行业
sz.300054,鼎龙股份,化工,申万一级行业
sz.300055,万邦达,公用事业,申万一级行业
sz.300056,三维丝,公用事业,申万一级行业
sz.300057,万顺新材,轻工制造,申万一级行业
sz.300058,蓝色光标,传媒,申万一级行业
sz.300059,东方财富,传媒,申万一级行业
sz.300061,康旗股份,传媒,申万一级行业
sz.300062,中能电气,电气设备,申万一级行业
sz.300063,天龙集团,传媒,申万一级行业
sz.300064,豫金刚石,机械设备,申万一级行业
sz.300065,海兰信,计算机,申万一级行业
sz.300066,三川智慧,机械设备,申万一级行业
sz.300067,安诺其,化工,申万一级行业
sz.300068,南都电源,电气设备,申万一级行业
sz.300069,金利华电,电气设备,申万一级行业
sz.300070,碧水源,公用事业,申万一级行业
sz.300071,华谊嘉信,传媒,申万一级行业
sz.300072,三聚环保,公用事业,申万一级行业
sz.300073,当升科技,化工,申万一级行业
sz.300074,华平股份,计算机,申万一级行业
sz.300075,数字政通,计算机,申万一级行业
sz.300076,GQY视讯,电子,申万一级行业
sz.300077,国民技术,电子,申万一级行业
sz.300078,思创医惠,电子,申万一级行业
sz.300079,数码科技,计算机,申万一级行业
sz.300080,易成新能,机械设备,申万一级行业
sz.300081,恒信东方,通信,申万一级行业
sz.300082,奥克股份,化工,申万一级行业
sz.300083,劲胜智能,电子,申万一级行业
sz.300084,海默科技,机械设备,申万一级行业
sz.300085,银之杰,计算机,申万一级行业
sz.300086,康芝药业,医药生物,申万一级行业
sz.300087,荃银高科,农林牧渔,申万一级行业
sz.300088,长信科技,电子,申万一级行业
sz.300089,文化长城,轻工制造,申万一级行业
sz.300090,盛运环保,公用事业,申万一级行业
sz.300091,金通灵,机械设备,申万一级行业
sz.300092,科新机电,机械设备,申万一级行业
sz.300093,金刚玻璃,建筑材料,申万一级行业
sz.300094,国联水产,农林牧渔,申万一级行业
sz.300095,华伍股份,机械设备,申万一级行业
sz.300096,易联众,计算机,申万一级行业
sz.300097,智云股份,机械设备,申万一级行业
sz.300098,高新兴,通信,申万一级行业
sz.300099,精准信息,机械设备,申万一级行业
sz.300100,双林股份,汽车,申万一级行业
sz.300101,振芯科技,国防军工,申万一级行业
sz.300102,乾照光电,电子,申万一级行业
sz.300103,达刚路机,机械设备,申万一级行业
sz.300104,乐视网,传媒,申万一级行业
sz.300105,龙源技术,电气设备,申万一级行业
sz.300106,西部牧业,农林牧渔,申万一级行业
sz.300107,建新股份,化工,申万一级行业
sz.300108,吉药控股,医药生物,申万一级行业
sz.300109,新开源,化工,申万一级行业
sz.300110,华仁药业,医药生物,申万一级行业
sz.300111,向日葵,电气设备,申万一级行业
sz.300112,万讯自控,机械设备,申万一级行业
sz.300113,顺网科技,传媒,申万一级行业
sz.300114,中航电测,机械设备,申万一级行业
sz.300115,长盈精密,电子,申万一级行业
sz.300116,坚瑞沃能,电气设备,申万一级行业
sz.300117,嘉寓股份,建筑材料,申万一级行业
sz.300118,东方日升,电气设备,申万一级行业
sz.300119,瑞普生物,农林牧渔,申万一级行业
sz.300120,经纬辉开,电气设备,申万一级行业
sz.300121,阳谷华泰,化工,申万一级行业
sz.300122,智飞生物,医药生物,申万一级行业
sz.300123,亚光科技,国防军工,申万一级行业
sz.300124,汇川技术,电气设备,申万一级行业
sz.300125,易世达,公用事业,申万一级行业
sz.300126,锐奇股份,机械设备,申万一级行业
sz.300127,银河磁体,有色金属,申万一级行业
sz.300128,锦富技术,电子,申万一级行业
sz.300129,泰胜风能,电气设备,申万一级行业
sz.300130,新国都,计算机,申万一级行业
sz.300131,英唐智控,电子,申万一级行业
sz.300132,青松股份,化工,申万一级行业
sz.300133,华策影视,传媒,申万一级行业
sz.300134,大富科技,通信,申万一级行业
sz.300135,宝利国际,化工,申万一级行业
sz.300136,信维通信,电子,申万一级行业
sz.300137,先河环保,公用事业,申万一级行业
sz.300138,晨光生物,农林牧渔,申万一级行业
sz.300139,晓程科技,电子,申万一级行业
sz.300140,中环装备,公用事业,申万一级行业
sz.300141,和顺电气,电气设备,申万一级行业
sz.300142,沃森生物,医药生物,申万一级行业
sz.300143,星普医科,医药生物,申万一级行业
sz.300144,宋城演艺,休闲服务,申万一级行业
sz.300145,中金环境,机械设备,申万一级行业
sz.300146,汤臣倍健,食品饮料,申万一级行业
sz.300147,香雪制药,医药生物,申万一级行业
sz.300148,天舟文化,传媒,申万一级行业
sz.300149,量子生物,医药生物,申万一级行业
sz.300150,世纪瑞尔,计算机,申万一级行业
sz.300151,昌红科技,机械设备,申万一级行业
sz.300152,科融环境,公用事业,申万一级行业
sz.300153,科泰电源,电气设备,申万一级行业
sz.300154,瑞凌股份,机械设备,申万一级行业
sz.300155,安居宝,计算机,申万一级行业
sz.300156,神雾环保,公用事业,申万一级行业
sz.300157,恒泰艾普,采掘,申万一级行业
sz.300158,振东制药,医药生物,申万一级行业
sz.300159,新研股份,国防军工,申万一级行业
sz.300160,秀强股份,家用电器,申万一级行业
sz.300161,华中数控,机械设备,申万一级行业
sz.300162,雷曼光电,电子,申万一级行业
sz.300163,先锋新材,化工,申万一级行业
sz.300164,通源石油,采掘,申万一级行业
sz.300165,天瑞仪器,机械设备,申万一级行业
sz.300166,东方国信,计算机,申万一级行业
sz.300167,迪威迅,计算机,申万一级行业
sz.300168,万达信息,计算机,申万一级行业
sz.300169,天晟新材,化工,申万一级行业
sz.300170,汉得信息,计算机,申万一级行业
sz.300171,东富龙,医药生物,申万一级行业
sz.300172,中电环保,公用事业,申万一级行业
sz.300173,智慧松德,机械设备,申万一级行业
sz.300174,元力股份,化工,申万一级行业
sz.300175,朗源股份,农林牧渔,申万一级行业
sz.300176,派生科技,非银金融,申万一级行业
sz.300177,中海达,计算机,申万一级行业
sz.300178,腾邦国际,休闲服务,申万一级行业
sz.300179,四方达,机械设备,申万一级行业
sz.300180,华峰超纤,化工,申万一级行业
sz.300181,佐力药业,医药生物,申万一级行业
sz.300182,捷成股份,计算机,申万一级行业
sz.300183,东软载波,通信,申万一级行业
sz.300184,力源信息,电子,申万一级行业
sz.300185,通裕重工,电气设备,申万一级行业
sz.300187,永清环保,公用事业,申万一级行业
sz.300188,美亚柏科,计算机,申万一级行业
sz.300189,神农基因,农林牧渔,申万一级行业
sz.300190,维尔利,公用事业,申万一级行业
sz.300191,潜能恒信,采掘,申万一级行业
sz.300192,科斯伍德,化工,申万一级行业
sz.300193,佳士科技,机械设备,申万一级行业
sz.300194,福安药业,医药生物,申万一级行业
sz.300195,长荣股份,机械设备,申万一级行业
sz.300196,长海股份,化工,申万一级行业
sz.300197,铁汉生态,建筑装饰,申万一级行业
sz.300198,纳川股份,建筑材料,申万一级行业
sz.300199,翰宇药业,医药生物,申万一级行业
sz.300200,高盟新材,化工,申万一级行业
sz.300201,海伦哲,机械设备,申万一级行业
sz.300202,聚龙股份,计算机,申万一级行业
sz.300203,聚光科技,公用事业,申万一级行业
sz.300204,舒泰神,医药生物,申万一级行业
sz.300205,天喻信息,通信,申万一级行业
sz.300206,理邦仪器,医药生物,申万一级行业
sz.300207,欣旺达,电子,申万一级行业
sz.300208,青岛中程,电气设备,申万一级行业
sz.300209,天泽信息,计算机,申万一级行业
sz.300210,森远股份,机械设备,申万一级行业
sz.300211,亿通科技,通信,申万一级行业
sz.300212,易华录,计算机,申万一级行业
sz.300213,佳讯飞鸿,通信,申万一级行业
sz.300214,日科化学,化工,申万一级行业
sz.300215,电科院,电气设备,申万一级行业
sz.300216,千山药机,医药生物,申万一级行业
sz.300217,东方电热,家用电器,申万一级行业
sz.300218,安利股份,化工,申万一级行业
sz.300219,鸿利智汇,电子,申万一级行业
sz.300220,金运激光,电子,申万一级行业
sz.300221,银禧科技,化工,申万一级行业
sz.300222,科大智能,机械设备,申万一级行业
sz.300223,北京君正,电子,申万一级行业
sz.300224,正海磁材,有色金属,申万一级行业
sz.300225,金力泰,化工,申万一级行业
sz.300226,上海钢联,传媒,申万一级行业
sz.300227,光韵达,电子,申万一级行业
sz.300228,富瑞特装,机械设备,申万一级行业
sz.300229,拓尔思,计算机,申万一级行业
sz.300230,永利股份,化工,申万一级行业
sz.300231,银信科技,计算机,申万一级行业
sz.300232,洲明科技,电子,申万一级行业
sz.300233,金城医药,医药生物,申万一级行业
sz.300234,开尔新材,建筑材料,申万一级行业
sz.300235,方直科技,计算机,申万一级行业
sz.300236,上海新阳,化工,申万一级行业
sz.300237,美晨生态,建筑装饰,申万一级行业
sz.300238,冠昊生物,医药生物,申万一级行业
sz.300239,东宝生物,医药生物,申万一级行业
sz.300240,飞力达,交通运输,申万一级行业
sz.300241,瑞丰光电,电子,申万一级行业
sz.300242,佳云科技,传媒,申万一级行业
sz.300243,瑞丰高材,化工,申万一级行业
sz.300244,迪安诊断,医药生物,申万一级行业
sz.300245,天玑科技,计算机,申万一级行业
sz.300246,宝莱特,医药生物,申万一级行业
sz.300247,融捷健康,家用电器,申万一级行业
sz.300248,新开普,计算机,申万一级行业
sz.300249,依米康,家用电器,申万一级行业
sz.300250,初灵信息,计算机,申万一级行业
sz.300251,光线传媒,传媒,申万一级行业
sz.300252,金信诺,通信,申万一级行业
