date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2019-04-02,sh.600106,18.3482895400,19.436951,1.237135,18.229093,86.235025
2019-04-02,sh.600107,15.7921167600,435.379929,5.569605,6.739431,-138.631355
2019-04-02,sh.600108,28.4936258400,76.511156,1.593231,3.403915,114.241257
2019-04-02,sh.600109,96.8967542000,33.820399,1.753505,9.074397,139.531412
2019-04-02,sh.600110,57.2771800000,65.908401,2.760377,2.395854,-50.543985
2019-04-02,sh.600111,174.8167640000,99.325183,4.723833,3.449735,-9.667594
2019-04-02,sh.600112,15.2789472000,29.897926,1.986234,5.001409,-112.972971
2019-04-02,sh.600113,28.5979100300,33.687219,4.777359,8.436758,29.069977
2019-04-02,sh.600114,38.5586160600,15.816270,2.031865,2.702238,-49.385690
2019-04-02,sh.600115,7.4918533200,38.505461,1.870551,0.907607,-26.274885
2019-04-02,sh.600116,43.1664494900,44.308492,3.318491,7.288094,-151.134279
2019-04-02,sh.600118,397.0964012800,74.294873,5.670078,4.091843,69.058301
2019-04-02,sh.600120,325.3459437500,22.678656,1.729458,1.488893,-50.396126
2019-04-02,sh.600121,11.0310000000,21.509681,1.051245,0.782904,-16.086296
2019-04-02,sh.600123,46.8679254000,9.223177,0.932100,1.192491,-4.100062
2019-04-02,sh.600125,113.9276184000,22.875937,2.049970,0.742986,25.007562
2019-04-02,sh.600126,20.1391762000,8.167855,0.994646,0.665548,4.608062
2019-04-02,sh.600129,28.7148702900,42.074829,2.173103,0.710347,21.798538
2019-04-02,sh.600131,83.1056637400,104.597911,8.830959,9.594784,140.221347
2019-04-02,sh.600132,155.2819299100,44.146340,15.134288,5.149837,55.212872
2019-04-02,sh.600133,25.0428816000,14.644526,1.505940,0.622618,-34.797590
2019-04-02,sh.600135,19.9927240100,230.534304,2.017618,1.824125,131.160457
2019-04-02,sh.600136,30.5001446400,31.446502,2.413145,3.564616,19.488324
2019-04-02,sh.600137,21.1298731500,70.728664,3.459323,4.676627,-5.913714
2019-04-02,sh.600138,69.2216090400,19.987348,2.032253,1.007946,-42.497225
2019-04-02,sh.600141,27.6733374800,20.843187,1.281818,0.469571,11.561775
2019-04-02,sh.600143,80.6847216000,20.437623,1.476318,0.606124,19.511351
2019-04-02,sh.600145,22.6397160000,57.559492,4.175797,176.824789,129.930682
2019-04-02,sh.600146,16.5200000000,82.357250,2.521847,2.956096,-348.050814
2019-04-02,sh.600148,41.3972658000,118.402671,6.876429,3.384639,106.248889
2019-04-02,sh.600149,15.3569764800,178.913756,13.473704,41.446186,19.908667
2019-04-02,sh.600150,50.4661857000,57.185248,1.853298,1.654363,-20.234029
2019-04-02,sh.600152,17.4913218200,43.923277,2.205509,2.056070,-9.918679
2019-04-02,sh.600153,122.0448156800,7.697776,1.065159,0.102107,2.986641
2019-04-02,sh.600155,33.2045680000,175.052247,1.772842,13.716114,-28.360421
2019-04-02,sh.600157,97.8032829600,132.757391,1.210650,1.346651,-8.165643
